SALES,ORDERDATE,STATUS,YEAR_ID,PRODUCTLINE,CUSTOMERNAME,COUNTRY,TERRITORY,DEALSIZE
6123.4,16/11/2008,Shipped,2008,Motorcycles,Osaka Souveniers Co.,Japan,Japan,Medium
9774.03,21/11/2008,Shipped,2008,Motorcycles,"Australian Collectors, Co.",Australia,APAC,Large
7023.9,26/11/2008,Shipped,2008,Motorcycles,Vitachrome Inc.,USA,NA,Large
7078.23,22/11/2008,Shipped,2008,Motorcycles,Tekni Collectables Inc.,USA,NA,Large
8336.94,09/12/2008,Shipped,2008,Motorcycles,Gift Depot Inc.,USA,NA,Large
6901.92,11/12/2008,Shipped,2008,Motorcycles,La Rochelle Gifts,France,EMEA,Medium
5438.07,27/10/2008,Shipped,2008,Motorcycles,Marta's Replicas Co.,USA,NA,Medium
6683.34,13/09/2008,Shipped,2008,Motorcycles,"Toys of Finland, Co.",Finland,EMEA,Medium
4570.4,29/05/2008,Shipped,2008,Motorcycles,Mini Classics,USA,NA,Medium
7667.14,25/11/2008,Shipped,2008,Motorcycles,Diecast Classics Inc.,USA,NA,Large
5868.2,19/11/2008,Shipped,2008,Motorcycles,Land of Toys Inc.,USA,NA,Medium
2990.13,28/12/2008,Shipped,2008,Motorcycles,"Tokyo Collectables, Ltd",Japan,Japan,Small
3664.1,15/09/2008,Shipped,2008,Motorcycles,Technics Stores Inc.,USA,NA,Medium
3834.38,16/11/2008,Shipped,2008,Motorcycles,"Australian Gift Network, Co",Australia,APAC,Medium
1822.17,20/01/2008,Shipped,2008,Motorcycles,FunGiftIdeas.com,USA,NA,Small
11886.6,09/01/2008,Shipped,2008,Motorcycles,"UK Collectables, Ltd.",UK,EMEA,Large
9218.16,09/06/2008,Disputed,2008,Motorcycles,Euro Shopping Channel,Spain,EMEA,Large
7208,27/12/2008,Shipped,2008,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Large
5004.8,20/11/2008,Shipped,2008,Classic Cars,Salzburg Collectables,Austria,EMEA,Medium
4398.24,28/05/2008,Shipped,2008,Classic Cars,"Stylish Desk Decors, Co.",UK,EMEA,Medium
5597.76,22/10/2008,Shipped,2008,Classic Cars,Mini Creations Ltd.,USA,NA,Medium
4526.08,30/10/2008,Shipped,2008,Classic Cars,"Toys of Finland, Co.",Finland,EMEA,Medium
5924.16,31/10/2008,Cancelled,2008,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Medium
3492.48,01/06/2008,Shipped,2008,Classic Cars,Alpha Cognac,France,EMEA,Medium
3854.24,23/11/2008,Shipped,2008,Classic Cars,"Double Decker Gift Stores, Ltd",UK,EMEA,Medium
5324.4,27/06/2008,Shipped,2008,Classic Cars,Enaco Distributors,Spain,EMEA,Medium
5197.92,11/11/2008,Shipped,2008,Classic Cars,"Men 'R' US Retailers, Ltd.",USA,NA,Medium
5997.6,19/09/2008,Shipped,2008,Classic Cars,Collectable Mini Designs Co.,USA,NA,Medium
2910.4,27/11/2008,Cancelled,2008,Classic Cars,Land of Toys Inc.,USA,NA,Small
3378.24,12/02/2009,Shipped,2009,Classic Cars,Quebec Home Shopping Network,Canada,NA,Medium
3508.8,06/04/2009,Shipped,2009,Classic Cars,Petit Auto,Belgium,EMEA,Medium
2992,17/04/2009,Shipped,2009,Classic Cars,"Royal Canadian Collectables, Ltd.",Canada,NA,Small
3427.2,28/05/2009,Shipped,2009,Classic Cars,Gifts4AllAges.com,USA,NA,Medium
2692.8,04/01/2009,Shipped,2009,Classic Cars,"Classic Gift Ideas, Inc",USA,NA,Small
4128.96,08/01/2009,Shipped,2009,Classic Cars,giftsbymail.co.uk,UK,EMEA,Medium
3051.71,10/07/2009,Shipped,2009,Classic Cars,Baane Mini Imports,Norway,EMEA,Medium
1201.25,11/08/2009,Shipped,2009,Classic Cars,Classic Legends Inc.,USA,NA,Small
1962.22,02/09/2009,Shipped,2009,Classic Cars,Euro Shopping Channel,Spain,EMEA,Small
2624.64,29/09/2009,Shipped,2009,Classic Cars,Reims Collectables,France,EMEA,Small
4046.25,30/09/2009,Shipped,2009,Classic Cars,"Oulu Toy Supplies, Inc.",Finland,EMEA,Medium
4846.7,04/11/2009,Shipped,2009,Classic Cars,Corporate Gift Ideas Co.,USA,NA,Medium
3370.56,09/11/2009,Shipped,2009,Classic Cars,Lyon Souveniers,France,EMEA,Medium
9661.44,22/01/2009,Shipped,2009,Classic Cars,The Sharp Gifts Warehouse,USA,NA,Large
2764.88,28/01/2009,On Hold,2009,Classic Cars,Gifts4AllAges.com,USA,NA,Small
5398.26,01/02/2009,Shipped,2009,Classic Cars,Baane Mini Imports,Norway,EMEA,Medium
4305.28,01/02/2009,Shipped,2009,Classic Cars,"La Corne D'abondance, Co.",France,EMEA,Medium
3347.74,31/01/2009,Shipped,2009,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Medium
3188.12,31/01/2009,Shipped,2009,Classic Cars,Technics Stores Inc.,USA,NA,Medium
3191.2,05/02/2009,Shipped,2009,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
3536.82,19/01/2009,Resolved,2009,Classic Cars,Mini Auto Werke,Austria,EMEA,Medium
5362.83,09/02/2009,Shipped,2009,Classic Cars,"Stylish Desk Decors, Co.",UK,EMEA,Medium
3433.36,12/02/2009,Shipped,2009,Classic Cars,"Classic Gift Ideas, Inc",USA,NA,Medium
4263.74,07/02/2009,Shipped,2009,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Medium
4076.19,07/02/2009,Shipped,2009,Classic Cars,Diecast Collectables,USA,NA,Medium
7020.48,07/02/2009,Shipped,2009,Classic Cars,Handji Gifts& Co,Singapore,APAC,Large
6426.5,22/02/2009,Shipped,2009,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Medium
4591.72,25/02/2009,Shipped,2009,Classic Cars,Super Scale Inc.,USA,NA,Medium
4033.38,03/03/2009,Shipped,2009,Classic Cars,Handji Gifts& Co,Singapore,APAC,Medium
4302.08,01/03/2009,Shipped,2009,Classic Cars,Souveniers And Things Co.,Australia,APAC,Medium
7020.64,16/02/2009,Shipped,2009,Classic Cars,Diecast Classics Inc.,USA,NA,Large
3855.9,27/01/2009,Shipped,2009,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Medium
6680.78,23/03/2009,Shipped,2009,Classic Cars,Marta's Replicas Co.,USA,NA,Medium
6678,27/03/2009,Shipped,2009,Classic Cars,Canadian Gift Exchange Network,Canada,NA,Medium
2851.54,04/03/2009,Shipped,2009,Classic Cars,Online Diecast Creations Co.,USA,NA,Small
3188.12,19/02/2009,On Hold,2009,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Medium
4428,29/03/2009,Shipped,2009,Classic Cars,"Australian Collectors, Co.",Australia,APAC,Medium
5780.92,30/03/2009,Shipped,2009,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Medium
2297.05,28/03/2009,Shipped,2009,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
6231.54,29/03/2009,Shipped,2009,Classic Cars,Corporate Gift Ideas Co.,USA,NA,Medium
1735.3,06/04/2009,Shipped,2009,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Small
4427.73,05/04/2009,Shipped,2009,Classic Cars,Quebec Home Shopping Network,Canada,NA,Medium
5894.94,27/03/2009,In Process,2009,Classic Cars,La Rochelle Gifts,France,EMEA,Medium
5265.15,21/03/2009,Shipped,2009,Classic Cars,Cruz & Sons Co.,Philippines,Japan,Medium
7599.9,12/04/2009,Shipped,2009,Classic Cars,Marseille Mini Autos,France,EMEA,Large
8008.56,18/04/2009,Shipped,2009,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Large
9245.76,12/04/2009,Shipped,2009,Classic Cars,Collectables For Less Inc.,USA,NA,Large
8296.35,18/04/2009,Shipped,2009,Classic Cars,Corporate Gift Ideas Co.,USA,NA,Large
5019.9,04/05/2009,Shipped,2009,Classic Cars,"Anna's Decorations, Ltd",Australia,APAC,Medium
5411.07,24/04/2009,Shipped,2009,Classic Cars,Herkku Gifts,Norway,EMEA,Medium
3840.9,17/04/2009,Shipped,2009,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Medium
3930.4,11/01/2009,Shipped,2009,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
7498.9,17/01/2009,Shipped,2009,Classic Cars,Auto Canal Petit,France,EMEA,Large
4517.91,18/05/2009,Shipped,2009,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Medium
5774.72,20/05/2009,Shipped,2009,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Medium
3922.56,29/04/2009,Cancelled,2009,Classic Cars,"UK Collectables, Ltd.",UK,EMEA,Medium
9160.36,01/06/2009,Shipped,2009,Classic Cars,L'ordine Souveniers,Italy,EMEA,Large
9631,18/05/2009,Shipped,2009,Classic Cars,Online Mini Collectables,USA,NA,Large
3432.24,20/04/2009,Shipped,2009,Classic Cars,"Vida Sport, Ltd",Switzerland,EMEA,Medium
5521.89,04/04/2009,Shipped,2009,Classic Cars,"Blauer See Auto, Co.",Germany,EMEA,Medium
6934.62,27/02/2009,Shipped,2009,Classic Cars,"Toms Spezialitten, Ltd",Germany,EMEA,Medium
6876.11,10/05/2009,Shipped,2009,Classic Cars,"Volvo Model Replicas, Co",Sweden,EMEA,Medium
2930.27,28/05/2009,Shipped,2009,Classic Cars,Land of Toys Inc.,USA,NA,Small
3584.25,05/06/2009,Shipped,2009,Classic Cars,Salzburg Collectables,Austria,EMEA,Medium
2817.87,04/06/2009,Shipped,2009,Classic Cars,Suominen Souveniers,Finland,EMEA,Small
3420,05/06/2009,Shipped,2009,Classic Cars,La Rochelle Gifts,France,EMEA,Medium
2575.04,29/05/2009,Shipped,2009,Classic Cars,Scandinavian Gift Ideas,Sweden,EMEA,Small
1961.28,18/09/2009,Shipped,2009,Classic Cars,Salzburg Collectables,Austria,EMEA,Small
8690.36,29/04/2009,Shipped,2009,Classic Cars,Danish Wholesale Imports,Denmark,EMEA,Large
6034.38,01/01/2009,Shipped,2009,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
11279.2,01/01/2009,Shipped,2009,Classic Cars,Muscle Machine Inc,USA,NA,Large
8023.29,08/01/2009,Shipped,2009,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Large
4904,11/01/2009,Shipped,2009,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
8594.52,18/01/2009,Shipped,2009,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Large
7474.5,18/01/2009,Shipped,2009,Classic Cars,L'ordine Souveniers,Italy,EMEA,Large
3883.74,09/06/2009,Shipped,2009,Classic Cars,Mini Creations Ltd.,USA,NA,Medium
8887.7,09/06/2009,Shipped,2009,Classic Cars,Super Scale Inc.,USA,NA,Large
8602.92,28/05/2009,Shipped,2009,Classic Cars,"Saveley & Henriot, Co.",France,EMEA,Large
7181.44,14/06/2009,Shipped,2009,Classic Cars,"Clover Collections, Co.",Ireland,EMEA,Large
8378.58,16/06/2009,Shipped,2009,Classic Cars,CAF Imports,Spain,EMEA,Large
10606.2,13/06/2009,Shipped,2009,Classic Cars,Suominen Souveniers,Finland,EMEA,Large
5818.4,25/04/2009,Shipped,2009,Classic Cars,Diecast Classics Inc.,USA,NA,Medium
7071.27,22/06/2009,Shipped,2009,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Large
8411.56,30/06/2009,Shipped,2009,Classic Cars,Amica Models & Co.,Italy,EMEA,Large
6570.76,29/06/2009,Shipped,2009,Classic Cars,"AV Stores, Co.",UK,EMEA,Medium
7975.44,29/06/2009,Shipped,2009,Classic Cars,Heintze Collectables,Denmark,EMEA,Large
2688,05/07/2009,Shipped,2009,Classic Cars,Baane Mini Imports,Norway,EMEA,Small
1888.26,03/07/2009,Shipped,2009,Classic Cars,"La Corne D'abondance, Co.",France,EMEA,Small
2513.28,29/06/2009,Shipped,2009,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,EMEA,Small
4764.48,24/04/2009,Shipped,2009,Classic Cars,Reims Collectables,France,EMEA,Medium
3560.64,27/06/2009,Shipped,2009,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Medium
3823.64,17/07/2009,Shipped,2009,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Medium
2280.96,15/07/2009,Shipped,2009,Classic Cars,Lyon Souveniers,France,EMEA,Small
8677.8,26/07/2009,Shipped,2009,Classic Cars,Gift Depot Inc.,USA,NA,Large
3394.98,24/07/2009,Shipped,2009,Trucks and Buses,Baane Mini Imports,Norway,EMEA,Medium
3415.44,21/07/2009,Shipped,2009,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,NA,Medium
2439.57,29/07/2009,Shipped,2009,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain,EMEA,Small
4829.8,28/07/2009,Shipped,2009,Trucks and Buses,Technics Stores Inc.,USA,NA,Medium
4100.1,30/06/2009,Shipped,2009,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
6563.06,31/07/2009,Resolved,2009,Trucks and Buses,Mini Auto Werke,Austria,EMEA,Medium
6817.22,01/02/2009,Shipped,2009,Trucks and Buses,"Australian Gift Network, Co",Australia,APAC,Medium
6163.94,11/04/2009,Shipped,2009,Trucks and Buses,"Classic Gift Ideas, Inc",USA,NA,Medium
4933.92,05/08/2009,Shipped,2009,Trucks and Buses,"Saveley & Henriot, Co.",France,EMEA,Medium
4056.36,08/08/2009,Shipped,2009,Trucks and Buses,Canadian Gift Exchange Network,Canada,NA,Medium
5759.42,17/08/2009,Shipped,2009,Trucks and Buses,Auto Assoc. & Cie.,France,EMEA,Medium
3451,17/08/2009,Shipped,2009,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,NA,Medium
5920.4,01/08/2009,Shipped,2009,Trucks and Buses,Super Scale Inc.,USA,NA,Medium
6668.24,06/08/2009,Shipped,2009,Trucks and Buses,"Tokyo Collectables, Ltd",Japan,Japan,Medium
4094.72,10/08/2009,Shipped,2009,Trucks and Buses,Souveniers And Things Co.,Australia,APAC,Medium
2938.5,16/08/2009,Shipped,2009,Trucks and Buses,Diecast Classics Inc.,USA,NA,Small
6387.8,31/07/2009,Shipped,2009,Trucks and Buses,Scandinavian Gift Ideas,Sweden,EMEA,Medium
6396,02/08/2009,Shipped,2009,Trucks and Buses,Auto Assoc. & Cie.,France,EMEA,Medium
2669.1,22/07/2009,Shipped,2009,Trucks and Buses,Canadian Gift Exchange Network,Canada,NA,Small
4784.13,08/09/2009,Shipped,2009,Trucks and Buses,Online Diecast Creations Co.,USA,NA,Medium
3273.93,08/09/2009,Shipped,2009,Trucks and Buses,Mini Wheels Co.,USA,NA,Medium
3586.43,14/09/2009,Shipped,2009,Trucks and Buses,"Australian Collectors, Co.",Australia,APAC,Medium
5960.36,12/09/2009,Shipped,2009,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,NA,Medium
8470.14,13/09/2009,Shipped,2009,Trucks and Buses,"Anna's Decorations, Ltd",Australia,APAC,Large
2952,15/08/2009,Shipped,2009,Trucks and Buses,Corporate Gift Ideas Co.,USA,NA,Small
2464.8,23/09/2009,Shipped,2009,Trucks and Buses,"Anna's Decorations, Ltd",Australia,APAC,Small
6232,08/09/2009,Shipped,2009,Trucks and Buses,Quebec Home Shopping Network,Canada,NA,Medium
7969.36,08/09/2009,In Process,2009,Trucks and Buses,Euro Shopping Channel,Spain,EMEA,Large
3036.6,13/09/2009,Shipped,2009,Motorcycles,Land of Toys Inc.,USA,NA,Medium
8284,30/09/2009,Shipped,2009,Motorcycles,Reims Collectables,France,EMEA,Large
2711.2,21/08/2009,Shipped,2009,Motorcycles,Lyon Souveniers,France,EMEA,Small
8339.8,04/05/2009,Shipped,2009,Motorcycles,Toys4GrownUps.com,USA,NA,Large
6238.84,08/10/2009,Shipped,2009,Motorcycles,Corporate Gift Ideas Co.,USA,NA,Medium
4639.25,15/09/2009,Shipped,2009,Motorcycles,"Anna's Decorations, Ltd",Australia,APAC,Medium
6747.6,12/10/2009,Shipped,2009,Motorcycles,Daedalus Designs Imports,France,EMEA,Medium
4512.48,21/10/2009,Shipped,2009,Motorcycles,Toys4GrownUps.com,USA,NA,Medium
4029,19/10/2009,Shipped,2009,Motorcycles,Mini Wheels Co.,USA,NA,Medium
4771.8,29/10/2009,Shipped,2009,Motorcycles,Auto Canal Petit,France,EMEA,Medium
6087.94,02/11/2009,Shipped,2009,Motorcycles,Daedalus Designs Imports,France,EMEA,Medium
4193.28,04/09/2009,Shipped,2009,Motorcycles,Vitachrome Inc.,USA,NA,Medium
7552.28,17/10/2009,Shipped,2009,Motorcycles,Tekni Collectables Inc.,USA,NA,Large
6434.4,16/11/2009,Shipped,2009,Motorcycles,Gift Depot Inc.,USA,NA,Medium
5181.5,19/10/2009,Shipped,2009,Motorcycles,Online Mini Collectables,USA,NA,Medium
6863.92,15/11/2009,Shipped,2009,Motorcycles,Marta's Replicas Co.,USA,NA,Medium
4157.04,28/10/2009,Shipped,2009,Motorcycles,"Toys of Finland, Co.",Finland,EMEA,Medium
4660.24,10/11/2009,Shipped,2009,Motorcycles,Baane Mini Imports,Norway,EMEA,Medium
4111.8,21/11/2009,Shipped,2009,Motorcycles,Microscale Inc.,USA,NA,Medium
3542.64,22/11/2009,Shipped,2009,Motorcycles,Land of Toys Inc.,USA,NA,Medium
8118.55,11/11/2009,Shipped,2009,Motorcycles,Salzburg Collectables,Austria,EMEA,Large
3877.06,28/09/2009,Shipped,2009,Motorcycles,Technics Stores Inc.,USA,NA,Medium
3867.08,23/03/2009,Shipped,2009,Motorcycles,La Rochelle Gifts,France,EMEA,Medium
5951.44,27/11/2009,Shipped,2009,Motorcycles,FunGiftIdeas.com,USA,NA,Medium
8648.64,27/11/2009,Shipped,2009,Motorcycles,"UK Collectables, Ltd.",UK,EMEA,Large
3447.78,25/11/2009,Disputed,2009,Motorcycles,Euro Shopping Channel,Spain,EMEA,Medium
5958.5,05/12/2009,Shipped,2009,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
5911.64,04/12/2009,Shipped,2009,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
7366.44,04/12/2009,Shipped,2009,Classic Cars,Muscle Machine Inc,USA,NA,Large
4985.64,04/12/2009,Shipped,2009,Classic Cars,Mini Gifts Distributors Ltd.,USA,NA,Medium
5393.64,07/12/2009,Shipped,2009,Classic Cars,Euro Shopping Channel,Spain,EMEA,Medium
4880.02,10/10/2009,Shipped,2009,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Japan,Medium
8378.69,04/01/2009,Shipped,2009,Classic Cars,L'ordine Souveniers,Italy,EMEA,Large
4038.21,31/03/2009,Shipped,2009,Classic Cars,Mini Creations Ltd.,USA,NA,Medium
